"danceability","energy","acousticness","tempo","loudness"
0.542,0.755,0.0232,168.22,-3.68
0.668,0.552,0.33,141.873,-10.426
0.559,0.392,0.315,92.424,-12.812
0.38,0.532,0.537,99.865,-14.477
0.415,0.463,0.657,171.608,-9.339
0.708,0.811,0.171,118.703,-10.299
0.192,0.392,0.326,172.312,-11.667
0.459,0.534,0.665,202.954,-11.926
0.206,0.263,0.785,77.745,-12.774
0.599,0.733,0.176,102.211,-7.058
0.587,0.994,0.155,151.941,-5.61
0.44,0.421,0.469,126.563,-8.944
0.656,0.591,0.0949,78.11,-13.425
0.725,0.67,0.0753,122.48,-10.929
0.686,0.457,0.595,150.953,-8.322
0.537,0.874,0.186,97.381,-9.656
0.54,0.773,0.0315,130.952,-3.627
0.726,0.458,0.195,104.059,-10.172
0.516,0.469,0.0198,88.784,-13.728
0.669,0.725,0.488,129.603,-9.788
0.548,0.492,0.898,102.62,-10.72
0.668,0.774,0.149,128.32,-7.001
0.484,0.727,0.198,120.066,-6.107
0.278,0.87,0.13,171.992,-5.368
0.641,0.497,0.254,102.274,-12.228
0.613,0.758,0.537,152.408,-11.948
0.669,0.801,0.00359,122.012,-7.996
0.51,0.877,0.311,137.23,-10.204
0.618,0.413,0.249,97.84,-14.164
0.613,0.754,0.179,107.967,-8.128
0.602,0.303,0.479,103.277,-16.367
0.831,0.663,0.669,120.7,-6.921
0.626,0.532,0.413,116.621,-8.097
0.718,0.66,0.363,142.879,-7.39
0.545,0.894,0.121,157.668,-4.48
0.791,0.721,0.259,87.034,-5.588
0.498,0.727,0.264,115.379,-7.511
0.46,0.567,0.0737,131.594,-8.677
0.717,0.269,0.485,67.726,-15.357
0.605,0.838,0.115,156.066,-3.084
0.267,0.375,0.878,137.191,-13.019
0.508,0.872,0.295,154.184,-10.925
0.564,0.503,0.244,157.797,-8.806
0.597,0.882,0.0107,130.858,-5.923
0.436,0.535,0.527,162.795,-11.046
0.423,0.908,0.00152,114.248,-3.467
0.707,0.636,0.296,115.227,-14.879
0.647,0.874,0.0262,131.02,-4.483
0.803,0.719,0.344,129.945,-4.485
0.696,0.573,0.104,79.013,-8.531
0.442,0.83,0.128,89.338,-4.02
0.756,0.675,0.0248,148.049,-7.73
0.768,0.158,0.678,122.817,-14.752
0.671,0.373,0.257,92.717,-18.064
0.657,0.936,0.444,130.171,-6.232
0.49,0.319,0.732,80.181,-14.069
0.373,0.259,0.555,124.763,-11
0.552,0.481,0.745,134.838,-10.764
0.565,0.242,0.762,81.657,-8.367
0.347,0.53,0.522,140.899,-7.949
0.619,0.602,0.0741,147.663,-14.872
0.527,0.432,0.598,137.973,-14.044
0.378,0.555,0.0504,91.966,-6.086
0.52,0.609,0.115,142.879,-10.61
0.437,0.863,0.00302,194.073,-5.28
0.435,0.401,0.51,136.837,-6.721
0.547,0.176,0.929,106.677,-13.38
0.657,0.768,0.108,75.025,-4.628
0.329,0.953,4.47e-05,136.929,-2.416
0.278,0.676,0.000423,104.545,-8.821
0.628,0.159,0.872,135.003,-14.363
0.738,0.64,0.41,104.82,-6.542
0.884,0.663,0.0747,96.27,-7.952
0.398,0.332,0.587,121.531,-9.106
0.733,0.595,0.0874,117.92,-12.076
0.792,0.759,0.00878,97.628,-9.216
0.489,0.748,0.033,147.998,-5.488
0.506,0.931,0.00146,129.568,-5.635
0.702,0.983,0.0314,120.138,-5.904
0.496,0.701,0.295,123.148,-9.506
0.644,0.448,0.00832,106.255,-14.51
0.544,0.633,0.0668,187.959,-8.41
0.658,0.555,0.0372,100.152,-12.029
0.669,0.829,0.0893,127.185,-3.827
0.471,0.482,0.13,84.18,-13.584
0.422,0.557,0.176,120.711,-12.76
0.647,0.769,0.623,125.474,-9.551
0.873,0.663,0.0216,135.499,-4.086
0.638,0.656,0.188,104.036,-5.886
0.604,0.547,0.734,125.148,-9.305
0.578,0.787,0.0217,110.864,-11.16
0.427,0.262,0.746,104.085,-8.541
0.473,0.732,0.263,181.809,-11.376
0.484,0.905,0.0936,182.058,-3.993
0.815,0.816,0.213,104.967,-6.047
0.452,0.31,0.179,82.483,-14.149
0.813,0.836,0.178,100.491,-4.23
0.621,0.882,0.000255,126.811,-6.05
0.694,0.533,0.305,76.603,-7.949
0.452,0.344,0.581,93.93,-11.507
0.417,0.538,0.213,182.116,-13.367
0.537,0.291,0.343,76.086,-9.619
0.518,0.432,0.401,139.567,-11.689
0.544,0.802,0.00155,130.022,-4.152
0.867,0.516,0.225,125.257,-15.565
0.456,0.291,0.426,124.736,-18.136
0.667,0.412,0.817,83.816,-7.544
0.678,0.47,0.72,81.648,-8.363
0.689,0.922,0.0143,103.975,-4.56
0.479,0.979,0.0207,124.765,-5.077
0.651,0.53,0.778,81.255,-10.461
0.774,0.527,0.629,96.174,-12.064
0.313,0.993,0.000119,129.255,-0.463
0.566,0.586,0.09,95.032,-7.444
0.67,0.616,0.573,120.129,-6.123
0.55,0.402,0.551,76.105,-7.195
0.78,0.456,0.0541,91.997,-10.016
0.841,0.544,0.194,115.994,-7.347
0.912,0.608,0.0458,136.994,-7.686
0.815,0.372,0.166,101.684,-12.814
0.797,0.785,0.0712,105.072,-7.523
0.692,0.865,0.279,98.305,-5.596
0.456,0.475,0.00152,166.094,-10.487
0.903,0.432,0.0463,139.028,-11.885
0.111,0.184,0.974,76.416,-15.011
0.574,0.368,0.0163,129.457,-10.644
0.724,0.816,0.00667,148.863,-4.572
0.596,0.901,0.0362,137.359,-7.373
0.592,0.397,0.354,150.038,-10.81
0.767,0.872,0.153,112.6,-4.25
0.515,0.847,0.00369,168.104,-2.951
0.74,0.638,0.104,94.417,-10.966
0.661,0.937,0.000967,131.001,-3.83
0.431,0.803,0.00167,147.048,-4.459
0.593,0.608,0.194,121.364,-8.378
0.334,0.818,0.332,200.473,-8.925
0.577,0.431,0.613,128.13,-13.327
0.478,0.856,0.0192,91.998,-4.881
0.312,0.53,0.38,82.957,-9.02
0.404,0.284,0.857,79.28,-14.135
0.709,0.548,0.65,83.995,-8.493
0.591,0.814,0.168,118.036,-4.725
0.604,0.755,0.000295,137.064,-10.761
0.517,0.782,0.143,98.926,-7.757
0.649,0.674,0.000516,129.016,-11.466
0.625,0.786,0.0343,119.982,-3.814
0.706,0.44,0.763,90.012,-11.577
0.56,0.678,0.61,122.585,-6.167
0.646,0.485,0.638,104.91,-14.186
0.511,0.574,0.0425,119.917,-7.016
0.346,0.444,0.815,105.266,-9.548
0.66,0.71,0.0106,97.988,-4.541
0.827,0.595,0.182,118.741,-13.909
0.624,0.876,0.0735,99.943,-3.374
0.517,0.535,0.131,135.087,-12.027
0.473,0.736,0.159,101.122,-8.038
